"Statistic","Year","County and Region","UNIT","VALUE"
"Total Income per Person","2015","Galway","Euro","24473"
"Total Income per Person","2015","Mayo","Euro","21839"
"Total Income per Person","2015","Roscommon","Euro","21658"
"Total Income per Person","2015","Southern","Euro","25776"
"Total Income per Person","2015","Mid-West","Euro","25920"
"Total Income per Person","2015","Clare","Euro","23705"
"Total Income per Person","2015","Limerick","Euro","28332"
"Total Income per Person","2015","Tipperary","Euro","24641"
"Total Income per Person","2015","South-East","Euro","25422"
"Total Income per Person","2015","Carlow","Euro","26000"
"Total Income per Person","2015","Kilkenny","Euro","25534"
"Total Income per Person","2015","Wexford","Euro","24689"
"Total Income per Person","2015","Waterford","Euro","25989"
"Total Income per Person","2015","South-West","Euro","25892"
"Total Income per Person","2015","Cork","Euro","26714"
"Total Income per Person","2015","Kerry","Euro","22960"
"Total Income per Person","2015","Eastern and Midland","Euro","30020"
"Total Income per Person","2015","Dublin","Euro","33122"
"Total Income per Person","2015","Mid-East","Euro","27088"
"Total Income per Person","2015","Kildare","Euro","28557"
"Total Income per Person","2015","Louth","Euro","24123"
"Total Income per Person","2015","Meath","Euro","27033"
"Total Income per Person","2015","Wicklow","Euro","27568"
"Total Income per Person","2015","Midland","Euro","22822"
"Total Income per Person","2015","Laois","Euro","23210"
"Total Income per Person","2015","Longford","Euro","22331"
"Total Income per Person","2015","Offaly","Euro","21795"
"Total Income per Person","2015","Westmeath","Euro","23594"
"Total Income per Person","2016","State","Euro","28057"
"Total Income per Person","2016","Northern and Western","Euro","23075"
"Total Income per Person","2016","Border","Euro","21670"
"Total Income per Person","2016","Leitrim","Euro","23148"
"Total Income per Person","2016","Sligo","Euro","23816"
"Total Income per Person","2016","Cavan","Euro","23301"
"Total Income per Person","2016","Donegal","Euro","19471"
"Total Income per Person","2016","Monaghan","Euro","22458"
"Total Income per Person","2016","West","Euro","24312"
"Total Income per Person","2016","Galway","Euro","25671"
"Total Income per Person","2016","Mayo","Euro","22552"
"Total Income per Person","2016","Roscommon","Euro","22579"
"Total Income per Person","2016","Southern","Euro","26370"
"Total Income per Person","2016","Mid-West","Euro","27199"
"Total Income per Person","2016","Clare","Euro","24833"
"Total Income per Person","2016","Limerick","Euro","30424"
"Total Income per Person","2016","Tipperary","Euro","25048"
"Total Income per Person","2016","South-East","Euro","24531"
"Total Income per Person","2016","Carlow","Euro","25018"
"Total Income per Person","2016","Kilkenny","Euro","24730"
"Total Income per Person","2016","Wexford","Euro","23685"
"Total Income per Person","2016","Waterford","Euro","25210"
"Total Income per Person","2016","South-West","Euro","26919"
"Total Income per Person","2016","Cork","Euro","27674"
"Total Income per Person","2016","Kerry","Euro","24227"
"Total Income per Person","2016","Eastern and Midland","Euro","31123"
"Total Income per Person","2016","Dublin","Euro","34305"
"Total Income per Person","2016","Mid-East","Euro","28335"
"Total Income per Person","2016","Kildare","Euro","30246"
"Total Income per Person","2016","Louth","Euro","24986"
"Total Income per Person","2016","Meath","Euro","28167"
"Total Income per Person","2016","Wicklow","Euro","28630"
"Total Income per Person","2016","Midland","Euro","23232"
"Total Income per Person","2016","Laois","Euro","23908"
"Total Income per Person","2016","Longford","Euro","22434"
"Total Income per Person","2016","Offaly","Euro","22069"
"Total Income per Person","2016","Westmeath","Euro","23997"
"Total Income per Person","2017","State","Euro","29667"
"Total Income per Person","2017","Northern and Western","Euro","24381"
"Total Income per Person","2017","Border","Euro","23035"
"Total Income per Person","2017","Leitrim","Euro","24640"
"Total Income per Person","2017","Sligo","Euro","25503"
"Total Income per Person","2017","Cavan","Euro","24471"
"Total Income per Person","2017","Donegal","Euro","20701"
"Total Income per Person","2017","Monaghan","Euro","24006"
"Total Income per Person","2017","West","Euro","25565"
"Total Income per Person","2017","Galway","Euro","26882"
"Total Income per Person","2017","Mayo","Euro","23805"
"Total Income per Person","2017","Roscommon","Euro","23997"
"Total Income per Person","2017","Southern","Euro","27715"
"Total Income per Person","2017","Mid-West","Euro","28839"
"Total Income per Person","2017","Clare","Euro","26403"
"Total Income per Person","2017","Limerick","Euro","32045"
"Total Income per Person","2017","Tipperary","Euro","26764"
"Total Income per Person","2017","South-East","Euro","25355"
"Total Income per Person","2017","Carlow","Euro","25432"
"Total Income per Person","2017","Kilkenny","Euro","25761"
"Total Income per Person","2017","Wexford","Euro","24382"
"Total Income per Person","2017","Waterford","Euro","26221"
"Total Income per Person","2017","South-West","Euro","28376"
"Total Income per Person","2017","Cork","Euro","29205"
"Total Income per Person","2017","Kerry","Euro","25419"
"Total Income per Person","2017","Eastern and Midland","Euro","33033"
"Total Income per Person","2017","Dublin","Euro","35867"
"Total Income per Person","2017","Mid-East","Euro","31246"
"Total Income per Person","2017","Kildare","Euro","33925"
"Total Income per Person","2017","Louth","Euro","26864"
"Total Income per Person","2017","Meath","Euro","31202"
"Total Income per Person","2017","Wicklow","Euro","31123"
"Total Income per Person","2017","Midland","Euro","24395"
"Total Income per Person","2017","Laois","Euro","24926"
"Total Income per Person","2017","Longford","Euro","23783"
"Total Income per Person","2017","Offaly","Euro","23406"
"Total Income per Person","2017","Westmeath","Euro","25055"
"Total Income per Person","2018","State","Euro","30753"
"Total Income per Person","2018","Northern and Western","Euro","24860"
"Total Income per Person","2018","Border","Euro","23507"
"Total Income per Person","2018","Leitrim","Euro","25698"
"Total Income per Person","2018","Sligo","Euro","25154"
"Total Income per Person","2018","Cavan","Euro","24691"
"Total Income per Person","2018","Donegal","Euro","21956"
"Total Income per Person","2018","Monaghan","Euro","23276"
"Total Income per Person","2018","West","Euro","26051"
"Total Income per Person","2018","Galway","Euro","27280"
"Total Income per Person","2018","Mayo","Euro","24528"
"Total Income per Person","2018","Roscommon","Euro","24347"
"Total Income per Person","2018","Southern","Euro","29021"
"Total Income per Person","2018","Mid-West","Euro","29727"
"Total Income per Person","2018","Clare","Euro","27357"
"Total Income per Person","2018","Limerick","Euro","33223"
"Total Income per Person","2018","Tipperary","Euro","27251"
"Total Income per Person","2018","South-East","Euro","26596"
"Total Income per Person","2018","Carlow","Euro","26769"
"Total Income per Person","2018","Kilkenny","Euro","27042"
"Total Income per Person","2018","Wexford","Euro","25683"
"Total Income per Person","2018","Waterford","Euro","27305"
"Total Income per Person","2018","South-West","Euro","30017"
"Total Income per Person","2018","Cork","Euro","31198"
"Total Income per Person","2018","Kerry","Euro","25803"
"Total Income per Person","2018","Eastern and Midland","Euro","34195"
"Total Income per Person","2018","Dublin","Euro","37530"
"Total Income per Person","2018","Mid-East","Euro","32170"
"Total Income per Person","2018","Kildare","Euro","35138"
"Total Income per Person","2018","Louth","Euro","27721"
"Total Income per Person","2018","Meath","Euro","31940"
"Total Income per Person","2018","Wicklow","Euro","31914"
"Total Income per Person","2018","Midland","Euro","23846"
"Total Income per Person","2018","Laois","Euro","24212"
"Total Income per Person","2018","Longford","Euro","23097"
"Total Income per Person","2018","Offaly","Euro","22959"
"Total Income per Person","2018","Westmeath","Euro","24633"
"Index of Total Income per Person","2000","State","State=100","100"
"Index of Total Income per Person","2000","Northern and Western","State=100","84.3"
"Index of Total Income per Person","2000","Border","State=100","80.1"
"Index of Total Income per Person","2000","Leitrim","State=100","82.7"
"Index of Total Income per Person","2000","Sligo","State=100","83.9"
"Index of Total Income per Person","2000","Cavan","State=100","83.9"
"Index of Total Income per Person","2000","Donegal","State=100","75.1"
"Index of Total Income per Person","2000","Monaghan","State=100","83.3"
"Index of Total Income per Person","2000","West","State=100","88"
"Index of Total Income per Person","2000","Galway","State=100","89.4"
"Index of Total Income per Person","2000","Mayo","State=100","86.7"
"Index of Total Income per Person","2000","Roscommon","State=100","85.7"
"Index of Total Income per Person","2000","Southern","State=100","91.6"
"Index of Total Income per Person","2000","Mid-West","State=100","93.2"
"Index of Total Income per Person","2000","Clare","State=100","95.3"
"Index of Total Income per Person","2000","Limerick","State=100","97.7"
"Index of Total Income per Person","2000","Tipperary","State=100","86"
"Index of Total Income per Person","2000","South-East","State=100","90"
"Index of Total Income per Person","2000","Carlow","State=100","89.8"
"Index of Total Income per Person","2000","Kilkenny","State=100","84.3"
"Index of Total Income per Person","2000","Wexford","State=100","86.9"
"Index of Total Income per Person","2000","Waterford","State=100","98.2"
"Index of Total Income per Person","2000","South-West","State=100","91.5"
"Index of Total Income per Person","2000","Cork","State=100","94.9"
"Index of Total Income per Person","2000","Kerry","State=100","80.1"
"Index of Total Income per Person","2000","Eastern and Midland","State=100","112.1"
"Index of Total Income per Person","2000","Dublin","State=100","120.1"
"Index of Total Income per Person","2000","Mid-East","State=100","104"
"Index of Total Income per Person","2000","Kildare","State=100","111.2"
"Index of Total Income per Person","2000","Louth","State=100","102.2"
"Index of Total Income per Person","2000","Meath","State=100","101"
"Index of Total Income per Person","2000","Wicklow","State=100","99.2"
"Index of Total Income per Person","2000","Midland","State=100","89.3"
"Index of Total Income per Person","2000","Laois","State=100","88.1"
"Index of Total Income per Person","2000","Longford","State=100","85.8"
"Index of Total Income per Person","2000","Offaly","State=100","85.1"
"Index of Total Income per Person","2000","Westmeath","State=100","95.7"
"Index of Total Income per Person","2001","State","State=100","100"
"Index of Total Income per Person","2001","Northern and Western","State=100","83.2"
"Index of Total Income per Person","2001","Border","State=100","79"
"Index of Total Income per Person","2001","Leitrim","State=100","80.1"
"Index of Total Income per Person","2001","Sligo","State=100","83.9"
"Index of Total Income per Person","2001","Cavan","State=100","83.4"
"Index of Total Income per Person","2001","Donegal","State=100","73.7"
"Index of Total Income per Person","2001","Monaghan","State=100","82"
"Index of Total Income per Person","2001","West","State=100","87"
"Index of Total Income per Person","2001","Galway","State=100","88.5"
"Index of Total Income per Person","2001","Mayo","State=100","85.1"
"Index of Total Income per Person","2001","Roscommon","State=100","85"
"Index of Total Income per Person","2001","Southern","State=100","91.7"
"Index of Total Income per Person","2001","Mid-West","State=100","93.9"
"Index of Total Income per Person","2001","Clare","State=100","92.9"
"Index of Total Income per Person","2001","Limerick","State=100","99.7"
"Index of Total Income per Person","2001","Tipperary","State=100","87.6"
"Index of Total Income per Person","2001","South-East","State=100","88.7"
"Index of Total Income per Person","2001","Carlow","State=100","88.3"
"Index of Total Income per Person","2001","Kilkenny","State=100","82.4"
"Index of Total Income per Person","2001","Wexford","State=100","87.3"
"Index of Total Income per Person","2001","Waterford","State=100","95.4"
"Index of Total Income per Person","2001","South-West","State=100","91.7"
"Index of Total Income per Person","2001","Cork","State=100","95"
"Index of Total Income per Person","2001","Kerry","State=100","80.8"
"Index of Total Income per Person","2001","Eastern and Midland","State=100","112.5"
"Index of Total Income per Person","2001","Dublin","State=100","121"
"Index of Total Income per Person","2001","Mid-East","State=100","104.1"
"Index of Total Income per Person","2001","Kildare","State=100","110.1"
"Index of Total Income per Person","2001","Louth","State=100","103.4"
"Index of Total Income per Person","2001","Meath","State=100","100.4"
"Index of Total Income per Person","2001","Wicklow","State=100","100.4"
"Index of Total Income per Person","2001","Midland","State=100","88.7"
"Index of Total Income per Person","2001","Laois","State=100","86.3"
"Index of Total Income per Person","2001","Longford","State=100","85.4"
"Index of Total Income per Person","2001","Offaly","State=100","84.7"
"Index of Total Income per Person","2001","Westmeath","State=100","95.8"
"Index of Total Income per Person","2002","State","State=100","100"
"Index of Total Income per Person","2002","Northern and Western","State=100","84.4"
"Index of Total Income per Person","2002","Border","State=100","80.8"
"Index of Total Income per Person","2002","Leitrim","State=100","83.5"
"Index of Total Income per Person","2002","Sligo","State=100","88.9"
"Index of Total Income per Person","2002","Cavan","State=100","84.6"
"Index of Total Income per Person","2002","Donegal","State=100","74.1"
"Index of Total Income per Person","2002","Monaghan","State=100","84"
"Index of Total Income per Person","2002","West","State=100","87.6"
"Index of Total Income per Person","2002","Galway","State=100","89.4"
"Index of Total Income per Person","2002","Mayo","State=100","84.8"
"Index of Total Income per Person","2002","Roscommon","State=100","86.5"
"Index of Total Income per Person","2002","Southern","State=100","92.7"
"Index of Total Income per Person","2002","Mid-West","State=100","93.4"
"Index of Total Income per Person","2002","Clare","State=100","92.7"
"Index of Total Income per Person","2002","Limerick","State=100","96.2"
"Index of Total Income per Person","2002","Tipperary","State=100","90.4"
"Index of Total Income per Person","2002","South-East","State=100","89.8"
"Index of Total Income per Person","2002","Carlow","State=100","85"
"Index of Total Income per Person","2002","Kilkenny","State=100","85.4"
"Index of Total Income per Person","2002","Wexford","State=100","86.8"
"Index of Total Income per Person","2002","Waterford","State=100","99"
"Index of Total Income per Person","2002","South-West","State=100","94"
"Index of Total Income per Person","2002","Cork","State=100","97.8"
"Index of Total Income per Person","2002","Kerry","State=100","81.4"
"Index of Total Income per Person","2002","Eastern and Midland","State=100","111.2"
"Index of Total Income per Person","2002","Dublin","State=100","118.4"
"Index of Total Income per Person","2002","Mid-East","State=100","104.4"
"Index of Total Income per Person","2002","Kildare","State=100","110.4"
"Index of Total Income per Person","2002","Louth","State=100","101.6"
"Index of Total Income per Person","2002","Meath","State=100","99.5"
"Index of Total Income per Person","2002","Wicklow","State=100","104.2"
"Index of Total Income per Person","2002","Midland","State=100","90.7"
"Index of Total Income per Person","2002","Laois","State=100","88.9"
"Index of Total Income per Person","2002","Longford","State=100","89.5"
"Index of Total Income per Person","2002","Offaly","State=100","87.6"
"Index of Total Income per Person","2002","Westmeath","State=100","95.5"
"Index of Total Income per Person","2003","State","State=100","100"
"Index of Total Income per Person","2003","Northern and Western","State=100","85.8"
"Index of Total Income per Person","2003","Border","State=100","81.5"
"Index of Total Income per Person","2003","Leitrim","State=100","85.4"
"Index of Total Income per Person","2003","Sligo","State=100","90.8"
"Index of Total Income per Person","2003","Cavan","State=100","85.4"
"Index of Total Income per Person","2003","Donegal","State=100","74"
"Index of Total Income per Person","2003","Monaghan","State=100","84.9"
"Index of Total Income per Person","2003","West","State=100","89.5"
"Index of Total Income per Person","2003","Galway","State=100","92.1"
"Index of Total Income per Person","2003","Mayo","State=100","86"
"Index of Total Income per Person","2003","Roscommon","State=100","86.9"
"Index of Total Income per Person","2003","Southern","State=100","92.7"
"Index of Total Income per Person","2003","Mid-West","State=100","93.4"
"Index of Total Income per Person","2003","Clare","State=100","91.6"
"Index of Total Income per Person","2003","Limerick","State=100","96.6"
"Index of Total Income per Person","2003","Tipperary","State=100","90.8"
"Index of Total Income per Person","2003","South-East","State=100","90"
"Index of Total Income per Person","2003","Carlow","State=100","84.9"
"Index of Total Income per Person","2003","Kilkenny","State=100","86.3"
"Index of Total Income per Person","2003","Wexford","State=100","88"
"Index of Total Income per Person","2003","Waterford","State=100","97.4"
"Index of Total Income per Person","2003","South-West","State=100","93.8"
"Index of Total Income per Person","2003","Cork","State=100","97.3"
"Index of Total Income per Person","2003","Kerry","State=100","81.8"
"Index of Total Income per Person","2003","Eastern and Midland","State=100","110.7"
"Index of Total Income per Person","2003","Dublin","State=100","117.4"
"Index of Total Income per Person","2003","Mid-East","State=100","103.8"
"Index of Total Income per Person","2003","Kildare","State=100","108.8"
"Index of Total Income per Person","2003","Louth","State=100","100.7"
"Index of Total Income per Person","2003","Meath","State=100","100.9"
"Index of Total Income per Person","2003","Wicklow","State=100","103"
"Index of Total Income per Person","2003","Midland","State=100","93.6"
"Index of Total Income per Person","2003","Laois","State=100","92.2"
"Index of Total Income per Person","2003","Longford","State=100","91"
"Index of Total Income per Person","2003","Offaly","State=100","90.4"
"Index of Total Income per Person","2003","Westmeath","State=100","98.6"
"Index of Total Income per Person","2004","State","State=100","100"
"Index of Total Income per Person","2004","Northern and Western","State=100","87.4"
"Index of Total Income per Person","2004","Border","State=100","83.6"
"Index of Total Income per Person","2004","Leitrim","State=100","89.3"
"Index of Total Income per Person","2004","Sligo","State=100","92.6"
"Index of Total Income per Person","2004","Cavan","State=100","88.6"
"Index of Total Income per Person","2004","Donegal","State=100","74.9"
"Index of Total Income per Person","2004","Monaghan","State=100","88.5"
"Index of Total Income per Person","2004","West","State=100","90.7"
"Index of Total Income per Person","2004","Galway","State=100","93.9"
"Index of Total Income per Person","2004","Mayo","State=100","86.2"
"Index of Total Income per Person","2004","Roscommon","State=100","87.9"
"Index of Total Income per Person","2004","Southern","State=100","92.6"
"Index of Total Income per Person","2004","Mid-West","State=100","92.6"
"Index of Total Income per Person","2004","Clare","State=100","90.9"
"Index of Total Income per Person","2004","Limerick","State=100","95.3"
"Index of Total Income per Person","2004","Tipperary","State=100","90.3"
"Index of Total Income per Person","2004","South-East","State=100","90.1"
"Index of Total Income per Person","2004","Carlow","State=100","86"
"Index of Total Income per Person","2004","Kilkenny","State=100","85.6"
"Index of Total Income per Person","2004","Wexford","State=100","88.3"
"Index of Total Income per Person","2004","Waterford","State=100","97.5"
"Index of Total Income per Person","2004","South-West","State=100","94.2"
"Index of Total Income per Person","2004","Cork","State=100","97.9"
"Index of Total Income per Person","2004","Kerry","State=100","81.7"
"Index of Total Income per Person","2004","Eastern and Midland","State=100","110.1"
"Index of Total Income per Person","2004","Dublin","State=100","116.4"
"Index of Total Income per Person","2004","Mid-East","State=100","104.4"
"Index of Total Income per Person","2004","Kildare","State=100","109.5"
"Index of Total Income per Person","2004","Louth","State=100","99.1"
"Index of Total Income per Person","2004","Meath","State=100","103.8"
"Index of Total Income per Person","2004","Wicklow","State=100","102.3"
"Index of Total Income per Person","2004","Midland","State=100","92.9"
"Index of Total Income per Person","2004","Laois","State=100","93.8"
"Index of Total Income per Person","2004","Longford","State=100","90.6"
"Index of Total Income per Person","2004","Offaly","State=100","90.6"
"Index of Total Income per Person","2004","Westmeath","State=100","95.1"
"Index of Total Income per Person","2005","State","State=100","100"
"Index of Total Income per Person","2005","Northern and Western","State=100","87.4"
"Index of Total Income per Person","2005","Border","State=100","83.2"
"Index of Total Income per Person","2005","Leitrim","State=100","90.5"
"Index of Total Income per Person","2005","Sligo","State=100","90.8"
"Index of Total Income per Person","2005","Cavan","State=100","90.7"
"Index of Total Income per Person","2005","Donegal","State=100","73.3"
"Index of Total Income per Person","2005","Monaghan","State=100","89.1"
"Index of Total Income per Person","2005","West","State=100","91.1"
"Index of Total Income per Person","2005","Galway","State=100","94"
"Index of Total Income per Person","2005","Mayo","State=100","85.9"
"Index of Total Income per Person","2005","Roscommon","State=100","90.9"
"Index of Total Income per Person","2005","Southern","State=100","93.6"
"Index of Total Income per Person","2005","Mid-West","State=100","93.5"
"Index of Total Income per Person","2005","Clare","State=100","92.8"
"Index of Total Income per Person","2005","Limerick","State=100","95.8"
"Index of Total Income per Person","2005","Tipperary","State=100","91.1"
"Index of Total Income per Person","2005","South-East","State=100","90.4"
"Index of Total Income per Person","2005","Carlow","State=100","86.9"
"Index of Total Income per Person","2005","Kilkenny","State=100","86.5"
"Index of Total Income per Person","2005","Wexford","State=100","90"
"Index of Total Income per Person","2005","Waterford","State=100","95.5"
"Index of Total Income per Person","2005","South-West","State=100","95.5"
"Index of Total Income per Person","2005","Cork","State=100","99.4"
"Index of Total Income per Person","2005","Kerry","State=100","82.4"
"Index of Total Income per Person","2005","Eastern and Midland","State=100","109.4"
"Index of Total Income per Person","2005","Dublin","State=100","115.5"
"Index of Total Income per Person","2005","Mid-East","State=100","104.2"
"Index of Total Income per Person","2005","Kildare","State=100","108.4"
"Index of Total Income per Person","2005","Louth","State=100","99.1"
"Index of Total Income per Person","2005","Meath","State=100","106.8"
"Index of Total Income per Person","2005","Wicklow","State=100","99.6"
"Index of Total Income per Person","2005","Midland","State=100","92.2"
"Index of Total Income per Person","2005","Laois","State=100","92.7"
"Index of Total Income per Person","2005","Longford","State=100","91"
"Index of Total Income per Person","2005","Offaly","State=100","90.8"
"Index of Total Income per Person","2005","Westmeath","State=100","93.5"
"Index of Total Income per Person","2006","State","State=100","100"
"Index of Total Income per Person","2006","Northern and Western","State=100","86.7"
"Index of Total Income per Person","2006","Border","State=100","82.7"
"Index of Total Income per Person","2006","Leitrim","State=100","90.5"
"Index of Total Income per Person","2006","Sligo","State=100","89.2"
"Index of Total Income per Person","2006","Cavan","State=100","90.4"
"Index of Total Income per Person","2006","Donegal","State=100","74.1"
"Index of Total Income per Person","2006","Monaghan","State=100","85.6"
"Index of Total Income per Person","2006","West","State=100","90.2"
"Index of Total Income per Person","2006","Galway","State=100","94.4"
"Index of Total Income per Person","2006","Mayo","State=100","82.9"
"Index of Total Income per Person","2006","Roscommon","State=100","89.6"
"Index of Total Income per Person","2006","Southern","State=100","94"
"Index of Total Income per Person","2006","Mid-West","State=100","94.3"
"Index of Total Income per Person","2006","Clare","State=100","92.5"
"Index of Total Income per Person","2006","Limerick","State=100","96.2"
"Index of Total Income per Person","2006","Tipperary","State=100","93.2"
"Index of Total Income per Person","2006","South-East","State=100","92"
"Index of Total Income per Person","2006","Carlow","State=100","89.1"
"Index of Total Income per Person","2006","Kilkenny","State=100","90.6"
"Index of Total Income per Person","2006","Wexford","State=100","93.1"
"Index of Total Income per Person","2006","Waterford","State=100","93.2"
"Index of Total Income per Person","2006","South-West","State=100","95.1"
"Index of Total Income per Person","2006","Cork","State=100","98.7"
"Index of Total Income per Person","2006","Kerry","State=100","82.6"
"Index of Total Income per Person","2006","Eastern and Midland","State=100","109.3"
"Index of Total Income per Person","2006","Dublin","State=100","115.3"
"Index of Total Income per Person","2006","Mid-East","State=100","105.2"
"Index of Total Income per Person","2006","Kildare","State=100","110.3"
"Index of Total Income per Person","2006","Louth","State=100","96.3"
"Index of Total Income per Person","2006","Meath","State=100","110.8"
"Index of Total Income per Person","2006","Wicklow","State=100","98.8"
"Index of Total Income per Person","2006","Midland","State=100","90.8"
"Index of Total Income per Person","2006","Laois","State=100","93.1"
"Index of Total Income per Person","2006","Longford","State=100","89.5"
"Index of Total Income per Person","2006","Offaly","State=100","89.8"
"Index of Total Income per Person","2006","Westmeath","State=100","90.3"
"Index of Total Income per Person","2007","State","State=100","100"
"Index of Total Income per Person","2007","Northern and Western","State=100","86.5"
"Index of Total Income per Person","2007","Border","State=100","83"
"Index of Total Income per Person","2007","Leitrim","State=100","90.1"
"Index of Total Income per Person","2007","Sligo","State=100","89.5"
"Index of Total Income per Person","2007","Cavan","State=100","92.8"
"Index of Total Income per Person","2007","Donegal","State=100","74"
"Index of Total Income per Person","2007","Monaghan","State=100","85.4"
"Index of Total Income per Person","2007","West","State=100","89.6"
"Index of Total Income per Person","2007","Galway","State=100","94.6"
"Index of Total Income per Person","2007","Mayo","State=100","82.1"
"Index of Total Income per Person","2007","Roscommon","State=100","87"
"Index of Total Income per Person","2007","Southern","State=100","94.4"
"Index of Total Income per Person","2007","Mid-West","State=100","94.2"
"Index of Total Income per Person","2007","Clare","State=100","93.4"
"Index of Total Income per Person","2007","Limerick","State=100","95.3"
"Index of Total Income per Person","2007","Tipperary","State=100","93.4"
"Index of Total Income per Person","2007","South-East","State=100","94.3"
"Index of Total Income per Person","2007","Carlow","State=100","91"
"Index of Total Income per Person","2007","Kilkenny","State=100","92.4"
"Index of Total Income per Person","2007","Wexford","State=100","96.5"
"Index of Total Income per Person","2007","Waterford","State=100","94.8"
"Index of Total Income per Person","2007","South-West","State=100","94.6"
"Index of Total Income per Person","2007","Cork","State=100","98.4"
"Index of Total Income per Person","2007","Kerry","State=100","81.8"
"Index of Total Income per Person","2007","Eastern and Midland","State=100","109"
"Index of Total Income per Person","2007","Dublin","State=100","115.4"
"Index of Total Income per Person","2007","Mid-East","State=100","104.6"
"Index of Total Income per Person","2007","Kildare","State=100","108.6"
"Index of Total Income per Person","2007","Louth","State=100","96.9"
"Index of Total Income per Person","2007","Meath","State=100","110.6"
"Index of Total Income per Person","2007","Wicklow","State=100","98.5"
"Index of Total Income per Person","2007","Midland","State=100","89"
"Index of Total Income per Person","2007","Laois","State=100","92.6"
"Index of Total Income per Person","2007","Longford","State=100","87.5"
"Index of Total Income per Person","2007","Offaly","State=100","86.3"
"Index of Total Income per Person","2007","Westmeath","State=100","89.2"
"Index of Total Income per Person","2008","State","State=100","100"
"Index of Total Income per Person","2008","Northern and Western","State=100","87.6"
"Index of Total Income per Person","2008","Border","State=100","83.1"
"Index of Total Income per Person","2008","Leitrim","State=100","92.4"
"Index of Total Income per Person","2008","Sligo","State=100","88.6"
"Index of Total Income per Person","2008","Cavan","State=100","91.6"
"Index of Total Income per Person","2008","Donegal","State=100","75.2"
"Index of Total Income per Person","2008","Monaghan","State=100","83.7"
"Index of Total Income per Person","2008","West","State=100","91.6"
"Index of Total Income per Person","2008","Galway","State=100","96.7"
"Index of Total Income per Person","2008","Mayo","State=100","83.9"
"Index of Total Income per Person","2008","Roscommon","State=100","88.5"
"Index of Total Income per Person","2008","Southern","State=100","94.3"
"Index of Total Income per Person","2008","Mid-West","State=100","92.9"
"Index of Total Income per Person","2008","Clare","State=100","94.8"
"Index of Total Income per Person","2008","Limerick","State=100","94.4"
"Index of Total Income per Person","2008","Tipperary","State=100","89.7"
"Index of Total Income per Person","2008","South-East","State=100","94.5"
"Index of Total Income per Person","2008","Carlow","State=100","91.6"
"Index of Total Income per Person","2008","Kilkenny","State=100","93.8"
"Index of Total Income per Person","2008","Wexford","State=100","96.8"
"Index of Total Income per Person","2008","Waterford","State=100","93.6"
"Index of Total Income per Person","2008","South-West","State=100","95.2"
"Index of Total Income per Person","2008","Cork","State=100","99"
"Index of Total Income per Person","2008","Kerry","State=100","82.4"
"Index of Total Income per Person","2008","Eastern and Midland","State=100","108.7"
"Index of Total Income per Person","2008","Dublin","State=100","115.1"
"Index of Total Income per Person","2008","Mid-East","State=100","104.3"
"Index of Total Income per Person","2008","Kildare","State=100","108.4"
"Index of Total Income per Person","2008","Louth","State=100","97"
"Index of Total Income per Person","2008","Meath","State=100","110.6"
"Index of Total Income per Person","2008","Wicklow","State=100","97.3"
"Index of Total Income per Person","2008","Midland","State=100","88.8"
"Index of Total Income per Person","2008","Laois","State=100","93.7"
"Index of Total Income per Person","2008","Longford","State=100","88"
"Index of Total Income per Person","2008","Offaly","State=100","85.3"
"Index of Total Income per Person","2008","Westmeath","State=100","88.3"
"Index of Total Income per Person","2009","State","State=100","100"
"Index of Total Income per Person","2009","Northern and Western","State=100","89"
"Index of Total Income per Person","2009","Border","State=100","84.4"
"Index of Total Income per Person","2009","Leitrim","State=100","93.9"
"Index of Total Income per Person","2009","Sligo","State=100","90.7"
"Index of Total Income per Person","2009","Cavan","State=100","92.5"
"Index of Total Income per Person","2009","Donegal","State=100","77.8"
"Index of Total Income per Person","2009","Monaghan","State=100","81.1"
"Index of Total Income per Person","2009","West","State=100","93.2"
"Index of Total Income per Person","2009","Galway","State=100","97.8"
"Index of Total Income per Person","2009","Mayo","State=100","86.7"
"Index of Total Income per Person","2009","Roscommon","State=100","89.4"
"Index of Total Income per Person","2009","Southern","State=100","94.6"
"Index of Total Income per Person","2009","Mid-West","State=100","93.8"
"Index of Total Income per Person","2009","Clare","State=100","93.5"
"Index of Total Income per Person","2009","Limerick","State=100","95.5"
"Index of Total Income per Person","2009","Tipperary","State=100","92.1"
"Index of Total Income per Person","2009","South-East","State=100","93.1"
"Index of Total Income per Person","2009","Carlow","State=100","91.6"
"Index of Total Income per Person","2009","Kilkenny","State=100","92.1"
"Index of Total Income per Person","2009","Wexford","State=100","95.1"
"Index of Total Income per Person","2009","Waterford","State=100","92.1"
"Index of Total Income per Person","2009","South-West","State=100","96.1"
"Index of Total Income per Person","2009","Cork","State=100","99.7"
"Index of Total Income per Person","2009","Kerry","State=100","83.9"
"Index of Total Income per Person","2009","Eastern and Midland","State=100","108"
"Index of Total Income per Person","2009","Dublin","State=100","114.7"
"Index of Total Income per Person","2009","Mid-East","State=100","103.1"
"Index of Total Income per Person","2009","Kildare","State=100","107.2"
"Index of Total Income per Person","2009","Louth","State=100","97.9"
"Index of Total Income per Person","2009","Meath","State=100","107.2"
"Index of Total Income per Person","2009","Wicklow","State=100","96.5"
"Index of Total Income per Person","2009","Midland","State=100","88.5"
