"Statistic","Year","Type of Dwelling","Region and County","UNIT","VALUE"
"Units for which Permission Granted","1984","Private flats/apartments","Sligo","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Cavan","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Donegal","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Monaghan","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","West","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Galway","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Galway City","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Mayo","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Roscommon","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Southern","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Mid-West","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Clare","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Limerick","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Tipperary","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","South-East","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Carlow","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Kilkenny","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Wexford","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Waterford","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","South-West","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Cork","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Cork City","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Kerry","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Eastern and Midland","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Dublin","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Dublin City","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","South Dublin","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Fingal","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Dun Laoghaire - Rathdown","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Mid-East","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Kildare","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Louth","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Meath","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Wicklow","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Midland","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Laois","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Longford","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Offaly","Number",""
"Units for which Permission Granted","1984","Private flats/apartments","Westmeath","Number",""
"Units for which Permission Granted","1985","Houses","State","Number","18003"
"Units for which Permission Granted","1985","Houses","Northern and Western","Number",""
"Units for which Permission Granted","1985","Houses","Border","Number",""
"Units for which Permission Granted","1985","Houses","Leitrim","Number",""
"Units for which Permission Granted","1985","Houses","Sligo","Number",""
"Units for which Permission Granted","1985","Houses","Cavan","Number",""
"Units for which Permission Granted","1985","Houses","Donegal","Number",""
"Units for which Permission Granted","1985","Houses","Monaghan","Number",""
"Units for which Permission Granted","1985","Houses","West","Number",""
"Units for which Permission Granted","1985","Houses","Galway","Number",""
"Units for which Permission Granted","1985","Houses","Galway City","Number",""
"Units for which Permission Granted","1985","Houses","Mayo","Number",""
"Units for which Permission Granted","1985","Houses","Roscommon","Number",""
"Units for which Permission Granted","1985","Houses","Southern","Number",""
"Units for which Permission Granted","1985","Houses","Mid-West","Number",""
"Units for which Permission Granted","1985","Houses","Clare","Number",""
"Units for which Permission Granted","1985","Houses","Limerick","Number",""
"Units for which Permission Granted","1985","Houses","Tipperary","Number",""
"Units for which Permission Granted","1985","Houses","South-East","Number",""
"Units for which Permission Granted","1985","Houses","Carlow","Number",""
"Units for which Permission Granted","1985","Houses","Kilkenny","Number",""
"Units for which Permission Granted","1985","Houses","Wexford","Number",""
"Units for which Permission Granted","1985","Houses","Waterford","Number",""
"Units for which Permission Granted","1985","Houses","South-West","Number",""
"Units for which Permission Granted","1985","Houses","Cork","Number",""
"Units for which Permission Granted","1985","Houses","Cork City","Number",""
"Units for which Permission Granted","1985","Houses","Kerry","Number",""
"Units for which Permission Granted","1985","Houses","Eastern and Midland","Number",""
"Units for which Permission Granted","1985","Houses","Dublin","Number",""
"Units for which Permission Granted","1985","Houses","Dublin City","Number",""
"Units for which Permission Granted","1985","Houses","South Dublin","Number",""
"Units for which Permission Granted","1985","Houses","Fingal","Number",""
"Units for which Permission Granted","1985","Houses","Dun Laoghaire - Rathdown","Number",""
"Units for which Permission Granted","1985","Houses","Mid-East","Number",""
"Units for which Permission Granted","1985","Houses","Kildare","Number",""
"Units for which Permission Granted","1985","Houses","Louth","Number",""
"Units for which Permission Granted","1985","Houses","Meath","Number",""
"Units for which Permission Granted","1985","Houses","Wicklow","Number",""
"Units for which Permission Granted","1985","Houses","Midland","Number",""
"Units for which Permission Granted","1985","Houses","Laois","Number",""
"Units for which Permission Granted","1985","Houses","Longford","Number",""
"Units for which Permission Granted","1985","Houses","Offaly","Number",""
"Units for which Permission Granted","1985","Houses","Westmeath","Number",""
"Units for which Permission Granted","1985","Multi development houses","State","Number",""
"Units for which Permission Granted","1985","Multi development houses","Northern and Western","Number",""
"Units for which Permission Granted","1985","Multi development houses","Border","Number",""
"Units for which Permission Granted","1985","Multi development houses","Leitrim","Number",""
"Units for which Permission Granted","1985","Multi development houses","Sligo","Number",""
"Units for which Permission Granted","1985","Multi development houses","Cavan","Number",""
"Units for which Permission Granted","1985","Multi development houses","Donegal","Number",""
"Units for which Permission Granted","1985","Multi development houses","Monaghan","Number",""
"Units for which Permission Granted","1985","Multi development houses","West","Number",""
"Units for which Permission Granted","1985","Multi development houses","Galway","Number",""
"Units for which Permission Granted","1985","Multi development houses","Galway City","Number",""
"Units for which Permission Granted","1985","Multi development houses","Mayo","Number",""
"Units for which Permission Granted","1985","Multi development houses","Roscommon","Number",""
"Units for which Permission Granted","1985","Multi development houses","Southern","Number",""
"Units for which Permission Granted","1985","Multi development houses","Mid-West","Number",""
"Units for which Permission Granted","1985","Multi development houses","Clare","Number",""
"Units for which Permission Granted","1985","Multi development houses","Limerick","Number",""
"Units for which Permission Granted","1985","Multi development houses","Tipperary","Number",""
"Units for which Permission Granted","1985","Multi development houses","South-East","Number",""
"Units for which Permission Granted","1985","Multi development houses","Carlow","Number",""
"Units for which Permission Granted","1985","Multi development houses","Kilkenny","Number",""
"Units for which Permission Granted","1985","Multi development houses","Wexford","Number",""
"Units for which Permission Granted","1985","Multi development houses","Waterford","Number",""
"Units for which Permission Granted","1985","Multi development houses","South-West","Number",""
"Units for which Permission Granted","1985","Multi development houses","Cork","Number",""
"Units for which Permission Granted","1985","Multi development houses","Cork City","Number",""
"Units for which Permission Granted","1985","Multi development houses","Kerry","Number",""
"Units for which Permission Granted","1985","Multi development houses","Eastern and Midland","Number",""
"Units for which Permission Granted","1985","Multi development houses","Dublin","Number",""
"Units for which Permission Granted","1985","Multi development houses","Dublin City","Number",""
"Units for which Permission Granted","1985","Multi development houses","South Dublin","Number",""
"Units for which Permission Granted","1985","Multi development houses","Fingal","Number",""
"Units for which Permission Granted","1985","Multi development houses","Dun Laoghaire - Rathdown","Number",""
"Units for which Permission Granted","1985","Multi development houses","Mid-East","Number",""
"Units for which Permission Granted","1985","Multi development houses","Kildare","Number",""
"Units for which Permission Granted","1985","Multi development houses","Louth","Number",""
"Units for which Permission Granted","1985","Multi development houses","Meath","Number",""
"Units for which Permission Granted","1985","Multi development houses","Wicklow","Number",""
"Units for which Permission Granted","1985","Multi development houses","Midland","Number",""
"Units for which Permission Granted","1985","Multi development houses","Laois","Number",""
"Units for which Permission Granted","1985","Multi development houses","Longford","Number",""
"Units for which Permission Granted","1985","Multi development houses","Offaly","Number",""
"Units for which Permission Granted","1985","Multi development houses","Westmeath","Number",""
"Units for which Permission Granted","1985","One off houses","State","Number",""
"Units for which Permission Granted","1985","One off houses","Northern and Western","Number",""
"Units for which Permission Granted","1985","One off houses","Border","Number",""
"Units for which Permission Granted","1985","One off houses","Leitrim","Number",""
"Units for which Permission Granted","1985","One off houses","Sligo","Number",""
"Units for which Permission Granted","1985","One off houses","Cavan","Number",""
"Units for which Permission Granted","1985","One off houses","Donegal","Number",""
"Units for which Permission Granted","1985","One off houses","Monaghan","Number",""
"Units for which Permission Granted","1985","One off houses","West","Number",""
"Units for which Permission Granted","1985","One off houses","Galway","Number",""
"Units for which Permission Granted","1985","One off houses","Galway City","Number",""
"Units for which Permission Granted","1985","One off houses","Mayo","Number",""
"Units for which Permission Granted","1985","One off houses","Roscommon","Number",""
"Units for which Permission Granted","1985","One off houses","Southern","Number",""
"Units for which Permission Granted","1985","One off houses","Mid-West","Number",""
"Units for which Permission Granted","1985","One off houses","Clare","Number",""
"Units for which Permission Granted","1985","One off houses","Limerick","Number",""
"Units for which Permission Granted","1985","One off houses","Tipperary","Number",""
"Units for which Permission Granted","1985","One off houses","South-East","Number",""
"Units for which Permission Granted","1985","One off houses","Carlow","Number",""
"Units for which Permission Granted","1985","One off houses","Kilkenny","Number",""
"Units for which Permission Granted","1985","One off houses","Wexford","Number",""
"Units for which Permission Granted","1985","One off houses","Waterford","Number",""
"Units for which Permission Granted","1985","One off houses","South-West","Number",""
"Units for which Permission Granted","1985","One off houses","Cork","Number",""
"Units for which Permission Granted","1985","One off houses","Cork City","Number",""
"Units for which Permission Granted","1985","One off houses","Kerry","Number",""
"Units for which Permission Granted","1985","One off houses","Eastern and Midland","Number",""
"Units for which Permission Granted","1985","One off houses","Dublin","Number",""
"Units for which Permission Granted","1985","One off houses","Dublin City","Number",""
"Units for which Permission Granted","1985","One off houses","South Dublin","Number",""
"Units for which Permission Granted","1985","One off houses","Fingal","Number",""
"Units for which Permission Granted","1985","One off houses","Dun Laoghaire - Rathdown","Number",""
"Units for which Permission Granted","1985","One off houses","Mid-East","Number",""
"Units for which Permission Granted","1985","One off houses","Kildare","Number",""
"Units for which Permission Granted","1985","One off houses","Louth","Number",""
"Units for which Permission Granted","1985","One off houses","Meath","Number",""
"Units for which Permission Granted","1985","One off houses","Wicklow","Number",""
"Units for which Permission Granted","1985","One off houses","Midland","Number",""
"Units for which Permission Granted","1985","One off houses","Laois","Number",""
"Units for which Permission Granted","1985","One off houses","Longford","Number",""
"Units for which Permission Granted","1985","One off houses","Offaly","Number",""
"Units for which Permission Granted","1985","One off houses","Westmeath","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","State","Number","2292"
"Units for which Permission Granted","1985","Private flats/apartments","Northern and Western","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Border","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Leitrim","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Sligo","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Cavan","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Donegal","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Monaghan","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","West","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Galway","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Galway City","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Mayo","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Roscommon","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Southern","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Mid-West","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Clare","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Limerick","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Tipperary","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","South-East","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Carlow","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Kilkenny","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Wexford","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Waterford","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","South-West","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Cork","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Cork City","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Kerry","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Eastern and Midland","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Dublin","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Dublin City","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","South Dublin","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Fingal","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Dun Laoghaire - Rathdown","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Mid-East","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Kildare","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Louth","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Meath","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Wicklow","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Midland","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Laois","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Longford","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Offaly","Number",""
"Units for which Permission Granted","1985","Private flats/apartments","Westmeath","Number",""
"Units for which Permission Granted","1986","Houses","State","Number","12947"
"Units for which Permission Granted","1986","Houses","Northern and Western","Number",""
"Units for which Permission Granted","1986","Houses","Border","Number",""
"Units for which Permission Granted","1986","Houses","Leitrim","Number",""
"Units for which Permission Granted","1986","Houses","Sligo","Number",""
"Units for which Permission Granted","1986","Houses","Cavan","Number",""
"Units for which Permission Granted","1986","Houses","Donegal","Number",""
"Units for which Permission Granted","1986","Houses","Monaghan","Number",""
"Units for which Permission Granted","1986","Houses","West","Number",""
"Units for which Permission Granted","1986","Houses","Galway","Number",""
"Units for which Permission Granted","1986","Houses","Galway City","Number",""
"Units for which Permission Granted","1986","Houses","Mayo","Number",""
"Units for which Permission Granted","1986","Houses","Roscommon","Number",""
"Units for which Permission Granted","1986","Houses","Southern","Number",""
"Units for which Permission Granted","1986","Houses","Mid-West","Number",""
"Units for which Permission Granted","1986","Houses","Clare","Number",""
"Units for which Permission Granted","1986","Houses","Limerick","Number",""
"Units for which Permission Granted","1986","Houses","Tipperary","Number",""
"Units for which Permission Granted","1986","Houses","South-East","Number",""
"Units for which Permission Granted","1986","Houses","Carlow","Number",""
"Units for which Permission Granted","1986","Houses","Kilkenny","Number",""
"Units for which Permission Granted","1986","Houses","Wexford","Number",""
"Units for which Permission Granted","1986","Houses","Waterford","Number",""
"Units for which Permission Granted","1986","Houses","South-West","Number",""
"Units for which Permission Granted","1986","Houses","Cork","Number",""
"Units for which Permission Granted","1986","Houses","Cork City","Number",""
"Units for which Permission Granted","1986","Houses","Kerry","Number",""
"Units for which Permission Granted","1986","Houses","Eastern and Midland","Number",""
"Units for which Permission Granted","1986","Houses","Dublin","Number",""
"Units for which Permission Granted","1986","Houses","Dublin City","Number",""
"Units for which Permission Granted","1986","Houses","South Dublin","Number",""
"Units for which Permission Granted","1986","Houses","Fingal","Number",""
"Units for which Permission Granted","1986","Houses","Dun Laoghaire - Rathdown","Number",""
"Units for which Permission Granted","1986","Houses","Mid-East","Number",""
"Units for which Permission Granted","1986","Houses","Kildare","Number",""
"Units for which Permission Granted","1986","Houses","Louth","Number",""
"Units for which Permission Granted","1986","Houses","Meath","Number",""
"Units for which Permission Granted","1986","Houses","Wicklow","Number",""
"Units for which Permission Granted","1986","Houses","Midland","Number",""
"Units for which Permission Granted","1986","Houses","Laois","Number",""
"Units for which Permission Granted","1986","Houses","Longford","Number",""
"Units for which Permission Granted","1986","Houses","Offaly","Number",""
"Units for which Permission Granted","1986","Houses","Westmeath","Number",""
"Units for which Permission Granted","1986","Multi development houses","State","Number",""
"Units for which Permission Granted","1986","Multi development houses","Northern and Western","Number",""
"Units for which Permission Granted","1986","Multi development houses","Border","Number",""
"Units for which Permission Granted","1986","Multi development houses","Leitrim","Number",""
"Units for which Permission Granted","1986","Multi development houses","Sligo","Number",""
"Units for which Permission Granted","1986","Multi development houses","Cavan","Number",""
"Units for which Permission Granted","1986","Multi development houses","Donegal","Number",""
"Units for which Permission Granted","1986","Multi development houses","Monaghan","Number",""
"Units for which Permission Granted","1986","Multi development houses","West","Number",""
"Units for which Permission Granted","1986","Multi development houses","Galway","Number",""
"Units for which Permission Granted","1986","Multi development houses","Galway City","Number",""
"Units for which Permission Granted","1986","Multi development houses","Mayo","Number",""
"Units for which Permission Granted","1986","Multi development houses","Roscommon","Number",""
"Units for which Permission Granted","1986","Multi development houses","Southern","Number",""
"Units for which Permission Granted","1986","Multi development houses","Mid-West","Number",""
"Units for which Permission Granted","1986","Multi development houses","Clare","Number",""
"Units for which Permission Granted","1986","Multi development houses","Limerick","Number",""
"Units for which Permission Granted","1986","Multi development houses","Tipperary","Number",""
"Units for which Permission Granted","1986","Multi development houses","South-East","Number",""
"Units for which Permission Granted","1986","Multi development houses","Carlow","Number",""
"Units for which Permission Granted","1986","Multi development houses","Kilkenny","Number",""
"Units for which Permission Granted","1986","Multi development houses","Wexford","Number",""
"Units for which Permission Granted","1986","Multi development houses","Waterford","Number",""
"Units for which Permission Granted","1986","Multi development houses","South-West","Number",""
"Units for which Permission Granted","1986","Multi development houses","Cork","Number",""
"Units for which Permission Granted","1986","Multi development houses","Cork City","Number",""
"Units for which Permission Granted","1986","Multi development houses","Kerry","Number",""
"Units for which Permission Granted","1986","Multi development houses","Eastern and Midland","Number",""
"Units for which Permission Granted","1986","Multi development houses","Dublin","Number",""
"Units for which Permission Granted","1986","Multi development houses","Dublin City","Number",""
"Units for which Permission Granted","1986","Multi development houses","South Dublin","Number",""
"Units for which Permission Granted","1986","Multi development houses","Fingal","Number",""
"Units for which Permission Granted","1986","Multi development houses","Dun Laoghaire - Rathdown","Number",""
"Units for which Permission Granted","1986","Multi development houses","Mid-East","Number",""
"Units for which Permission Granted","1986","Multi development houses","Kildare","Number",""
"Units for which Permission Granted","1986","Multi development houses","Louth","Number",""
"Units for which Permission Granted","1986","Multi development houses","Meath","Number",""
"Units for which Permission Granted","1986","Multi development houses","Wicklow","Number",""
"Units for which Permission Granted","1986","Multi development houses","Midland","Number",""
"Units for which Permission Granted","1986","Multi development houses","Laois","Number",""
"Units for which Permission Granted","1986","Multi development houses","Longford","Number",""
"Units for which Permission Granted","1986","Multi development houses","Offaly","Number",""
"Units for which Permission Granted","1986","Multi development houses","Westmeath","Number",""
"Units for which Permission Granted","1986","One off houses","State","Number",""
"Units for which Permission Granted","1986","One off houses","Northern and Western","Number",""
"Units for which Permission Granted","1986","One off houses","Border","Number",""
"Units for which Permission Granted","1986","One off houses","Leitrim","Number",""
"Units for which Permission Granted","1986","One off houses","Sligo","Number",""
"Units for which Permission Granted","1986","One off houses","Cavan","Number",""
"Units for which Permission Granted","1986","One off houses","Donegal","Number",""
"Units for which Permission Granted","1986","One off houses","Monaghan","Number",""
"Units for which Permission Granted","1986","One off houses","West","Number",""
"Units for which Permission Granted","1986","One off houses","Galway","Number",""
"Units for which Permission Granted","1986","One off houses","Galway City","Number",""
"Units for which Permission Granted","1986","One off houses","Mayo","Number",""
"Units for which Permission Granted","1986","One off houses","Roscommon","Number",""
"Units for which Permission Granted","1986","One off houses","Southern","Number",""
"Units for which Permission Granted","1986","One off houses","Mid-West","Number",""
"Units for which Permission Granted","1986","One off houses","Clare","Number",""
"Units for which Permission Granted","1986","One off houses","Limerick","Number",""
"Units for which Permission Granted","1986","One off houses","Tipperary","Number",""
"Units for which Permission Granted","1986","One off houses","South-East","Number",""
"Units for which Permission Granted","1986","One off houses","Carlow","Number",""
"Units for which Permission Granted","1986","One off houses","Kilkenny","Number",""
"Units for which Permission Granted","1986","One off houses","Wexford","Number",""
"Units for which Permission Granted","1986","One off houses","Waterford","Number",""
"Units for which Permission Granted","1986","One off houses","South-West","Number",""
"Units for which Permission Granted","1986","One off houses","Cork","Number",""
"Units for which Permission Granted","1986","One off houses","Cork City","Number",""
"Units for which Permission Granted","1986","One off houses","Kerry","Number",""
"Units for which Permission Granted","1986","One off houses","Eastern and Midland","Number",""
"Units for which Permission Granted","1986","One off houses","Dublin","Number",""
"Units for which Permission Granted","1986","One off houses","Dublin City","Number",""
"Units for which Permission Granted","1986","One off houses","South Dublin","Number",""
"Units for which Permission Granted","1986","One off houses","Fingal","Number",""
"Units for which Permission Granted","1986","One off houses","Dun Laoghaire - Rathdown","Number",""
"Units for which Permission Granted","1986","One off houses","Mid-East","Number",""
"Units for which Permission Granted","1986","One off houses","Kildare","Number",""
"Units for which Permission Granted","1986","One off houses","Louth","Number",""
"Units for which Permission Granted","1986","One off houses","Meath","Number",""
"Units for which Permission Granted","1986","One off houses","Wicklow","Number",""
"Units for which Permission Granted","1986","One off houses","Midland","Number",""
"Units for which Permission Granted","1986","One off houses","Laois","Number",""
"Units for which Permission Granted","1986","One off houses","Longford","Number",""
"Units for which Permission Granted","1986","One off houses","Offaly","Number",""
"Units for which Permission Granted","1986","One off houses","Westmeath","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","State","Number","1012"
"Units for which Permission Granted","1986","Private flats/apartments","Northern and Western","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Border","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Leitrim","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Sligo","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Cavan","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Donegal","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Monaghan","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","West","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Galway","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Galway City","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Mayo","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Roscommon","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Southern","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Mid-West","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Clare","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Limerick","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Tipperary","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","South-East","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Carlow","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Kilkenny","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Wexford","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Waterford","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","South-West","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Cork","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Cork City","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Kerry","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Eastern and Midland","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Dublin","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Dublin City","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","South Dublin","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Fingal","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Dun Laoghaire - Rathdown","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Mid-East","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Kildare","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Louth","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Meath","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Wicklow","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Midland","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Laois","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Longford","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Offaly","Number",""
"Units for which Permission Granted","1986","Private flats/apartments","Westmeath","Number",""
"Units for which Permission Granted","1987","Houses","State","Number","12230"
"Units for which Permission Granted","1987","Houses","Northern and Western","Number",""
"Units for which Permission Granted","1987","Houses","Border","Number",""
"Units for which Permission Granted","1987","Houses","Leitrim","Number",""
"Units for which Permission Granted","1987","Houses","Sligo","Number",""
"Units for which Permission Granted","1987","Houses","Cavan","Number",""
"Units for which Permission Granted","1987","Houses","Donegal","Number",""
"Units for which Permission Granted","1987","Houses","Monaghan","Number",""
"Units for which Permission Granted","1987","Houses","West","Number",""
"Units for which Permission Granted","1987","Houses","Galway","Number",""
"Units for which Permission Granted","1987","Houses","Galway City","Number",""
"Units for which Permission Granted","1987","Houses","Mayo","Number",""
"Units for which Permission Granted","1987","Houses","Roscommon","Number",""
"Units for which Permission Granted","1987","Houses","Southern","Number",""
"Units for which Permission Granted","1987","Houses","Mid-West","Number",""
"Units for which Permission Granted","1987","Houses","Clare","Number",""
"Units for which Permission Granted","1987","Houses","Limerick","Number",""
"Units for which Permission Granted","1987","Houses","Tipperary","Number",""
"Units for which Permission Granted","1987","Houses","South-East","Number",""
"Units for which Permission Granted","1987","Houses","Carlow","Number",""
"Units for which Permission Granted","1987","Houses","Kilkenny","Number",""
"Units for which Permission Granted","1987","Houses","Wexford","Number",""
"Units for which Permission Granted","1987","Houses","Waterford","Number",""
"Units for which Permission Granted","1987","Houses","South-West","Number",""
"Units for which Permission Granted","1987","Houses","Cork","Number",""
"Units for which Permission Granted","1987","Houses","Cork City","Number",""
"Units for which Permission Granted","1987","Houses","Kerry","Number",""
"Units for which Permission Granted","1987","Houses","Eastern and Midland","Number",""
"Units for which Permission Granted","1987","Houses","Dublin","Number",""
"Units for which Permission Granted","1987","Houses","Dublin City","Number",""
"Units for which Permission Granted","1987","Houses","South Dublin","Number",""
"Units for which Permission Granted","1987","Houses","Fingal","Number",""
"Units for which Permission Granted","1987","Houses","Dun Laoghaire - Rathdown","Number",""
"Units for which Permission Granted","1987","Houses","Mid-East","Number",""
"Units for which Permission Granted","1987","Houses","Kildare","Number",""
"Units for which Permission Granted","1987","Houses","Louth","Number",""
"Units for which Permission Granted","1987","Houses","Meath","Number",""
"Units for which Permission Granted","1987","Houses","Wicklow","Number",""
"Units for which Permission Granted","1987","Houses","Midland","Number",""
"Units for which Permission Granted","1987","Houses","Laois","Number",""
"Units for which Permission Granted","1987","Houses","Longford","Number",""
"Units for which Permission Granted","1987","Houses","Offaly","Number",""
"Units for which Permission Granted","1987","Houses","Westmeath","Number",""
"Units for which Permission Granted","1987","Multi development houses","State","Number",""
"Units for which Permission Granted","1987","Multi development houses","Northern and Western","Number",""
"Units for which Permission Granted","1987","Multi development houses","Border","Number",""
"Units for which Permission Granted","1987","Multi development houses","Leitrim","Number",""
"Units for which Permission Granted","1987","Multi development houses","Sligo","Number",""
"Units for which Permission Granted","1987","Multi development houses","Cavan","Number",""
"Units for which Permission Granted","1987","Multi development houses","Donegal","Number",""
"Units for which Permission Granted","1987","Multi development houses","Monaghan","Number",""
"Units for which Permission Granted","1987","Multi development houses","West","Number",""
"Units for which Permission Granted","1987","Multi development houses","Galway","Number",""
"Units for which Permission Granted","1987","Multi development houses","Galway City","Number",""
"Units for which Permission Granted","1987","Multi development houses","Mayo","Number",""
"Units for which Permission Granted","1987","Multi development houses","Roscommon","Number",""
"Units for which Permission Granted","1987","Multi development houses","Southern","Number",""
"Units for which Permission Granted","1987","Multi development houses","Mid-West","Number",""
"Units for which Permission Granted","1987","Multi development houses","Clare","Number",""
