"Statistic","CensusYear","Sex","Aggregate Town or Rural Area","County and City","UNIT","VALUE"
"Population","2011","Female","Aggregate Town Area","Galway City","Number","39015"
"Population","2011","Female","Aggregate Town Area","Galway County","Number","20256"
"Population","2011","Female","Aggregate Town Area","Leitrim","Number","1709"
"Population","2011","Female","Aggregate Town Area","Mayo","Number","19605"
"Population","2011","Female","Aggregate Town Area","Roscommon","Number","8501"
"Population","2011","Female","Aggregate Town Area","Sligo","Number","12662"
"Population","2011","Female","Aggregate Town Area","Cavan","Number","11194"
"Population","2011","Female","Aggregate Town Area","Donegal","Number","22893"
"Population","2011","Female","Aggregate Town Area","Monaghan","Number","9190"
"Population","2011","Female","Aggregate Rural Area","State","Number","857831"
"Population","2011","Female","Aggregate Rural Area","Carlow","Number","13708"
"Population","2011","Female","Aggregate Rural Area","Dublin City","Number","0"
"Population","2011","Female","Aggregate Rural Area","Dún Laoghaire-Rathdown","Number","1013"
"Population","2011","Female","Aggregate Rural Area","Fingal","Number","10448"
"Population","2011","Female","Aggregate Rural Area","South Dublin","Number","2673"
"Population","2011","Female","Aggregate Rural Area","Kildare","Number","33649"
"Population","2011","Female","Aggregate Rural Area","Kilkenny","Number","29490"
"Population","2011","Female","Aggregate Rural Area","Laois","Number","20880"
"Population","2011","Female","Aggregate Rural Area","Longford","Number","12743"
"Population","2011","Female","Aggregate Rural Area","Louth","Number","21720"
"Population","2011","Female","Aggregate Rural Area","Meath","Number","38995"
"Population","2011","Female","Aggregate Rural Area","Offaly","Number","21075"
"Population","2011","Female","Aggregate Rural Area","Westmeath","Number","22086"
"Population","2011","Female","Aggregate Rural Area","Wexford","Number","44781"
"Population","2011","Female","Aggregate Rural Area","Wicklow","Number","23466"
"Population","2011","Female","Aggregate Rural Area","Clare","Number","35037"
"Population","2011","Female","Aggregate Rural Area","Cork City","Number","0"
"Population","2011","Female","Aggregate Rural Area","Cork County","Number","96421"
"Population","2011","Female","Aggregate Rural Area","Kerry","Number","46273"
"Population","2011","Female","Aggregate Rural Area","Limerick City and County","Number","43386"
"Population","2011","Female","Aggregate Rural Area","Tipperary","Number","45462"
"Population","2011","Female","Aggregate Rural Area","Waterford City and County","Number","21287"
"Population","2011","Female","Aggregate Rural Area","Galway City","Number","0"
"Population","2011","Female","Aggregate Rural Area","Galway County","Number","66624"
"Population","2011","Female","Aggregate Rural Area","Leitrim","Number","13945"
"Population","2011","Female","Aggregate Rural Area","Mayo","Number","45613"
"Population","2011","Female","Aggregate Rural Area","Roscommon","Number","23211"
"Population","2011","Female","Aggregate Rural Area","Sligo","Number","20296"
"Population","2011","Female","Aggregate Rural Area","Cavan","Number","24976"
"Population","2011","Female","Aggregate Rural Area","Donegal","Number","57721"
"Population","2011","Female","Aggregate Rural Area","Monaghan","Number","20852"
"Population","2016","Both sexes","State","State","Number","4761865"
"Population","2016","Both sexes","State","Carlow","Number","56932"
"Population","2016","Both sexes","State","Dublin City","Number","554554"
"Population","2016","Both sexes","State","Dún Laoghaire-Rathdown","Number","218018"
"Population","2016","Both sexes","State","Fingal","Number","296020"
"Population","2016","Both sexes","State","South Dublin","Number","278767"
"Population","2016","Both sexes","State","Kildare","Number","222504"
"Population","2016","Both sexes","State","Kilkenny","Number","99232"
"Population","2016","Both sexes","State","Laois","Number","84697"
"Population","2016","Both sexes","State","Longford","Number","40873"
"Population","2016","Both sexes","State","Louth","Number","128884"
"Population","2016","Both sexes","State","Meath","Number","195044"
"Population","2016","Both sexes","State","Offaly","Number","77961"
"Population","2016","Both sexes","State","Westmeath","Number","88770"
"Population","2016","Both sexes","State","Wexford","Number","149722"
"Population","2016","Both sexes","State","Wicklow","Number","142425"
"Population","2016","Both sexes","State","Clare","Number","118817"
"Population","2016","Both sexes","State","Cork City","Number","125657"
"Population","2016","Both sexes","State","Cork County","Number","417211"
"Population","2016","Both sexes","State","Kerry","Number","147707"
"Population","2016","Both sexes","State","Limerick City and County","Number","194899"
"Population","2016","Both sexes","State","Tipperary","Number","159553"
"Population","2016","Both sexes","State","Waterford City and County","Number","116176"
"Population","2016","Both sexes","State","Galway City","Number","78668"
"Population","2016","Both sexes","State","Galway County","Number","179390"
"Population","2016","Both sexes","State","Leitrim","Number","32044"
"Population","2016","Both sexes","State","Mayo","Number","130507"
"Population","2016","Both sexes","State","Roscommon","Number","64544"
"Population","2016","Both sexes","State","Sligo","Number","65535"
"Population","2016","Both sexes","State","Cavan","Number","76176"
"Population","2016","Both sexes","State","Donegal","Number","159192"
"Population","2016","Both sexes","State","Monaghan","Number","61386"
"Population","2016","Both sexes","Aggregate Town Area","State","Number","2985781"
"Population","2016","Both sexes","Aggregate Town Area","Carlow","Number","28004"
