"Year","County","Planning Permission"
"1991","Roscommon","0"
"1991","Sligo","0"
"1991","Tipperary","0"
"1991","Waterford","0"
"1991","Wexford","0"
"1991","Wicklow","0"
"1992","Carlow","0"
"1992","Cavan","0"
"1992","Clare","0"
"1992","Cork","0"
"1992","Donegal","0"
"1992","Dublin","0"
"1992","Fingal","0"
"1992","Galway","0"
"1992","Kerry","0"
"1992","Kildare","0"
"1992","Kilkenny","0"
"1992","Laois","0"
"1992","Leitrim","0"
"1992","Limerick","0"
"1992","Longford","0"
"1992","Louth","0"
"1992","Mayo","0"
"1992","Meath","0"
"1992","Monaghan","0"
"1992","Offaly","0"
"1992","Roscommon","0"
"1992","Sligo","0"
"1992","Tipperary","0"
"1992","Waterford","0"
"1992","Wexford","0"
"1992","Wicklow","0"
"1993","Carlow","0"
"1993","Cavan","0"
"1993","Clare","0"
"1993","Cork","0"
"1993","Donegal","0"
"1993","Dublin","0"
"1993","Fingal","0"
"1993","Galway","0"
"1993","Kerry","0"
"1993","Kildare","0"
"1993","Kilkenny","0"
"1993","Laois","0"
"1993","Leitrim","0"
"1993","Limerick","0"
"1993","Longford","0"
"1993","Louth","0"
"1993","Mayo","0"
"1993","Meath","0"
"1993","Monaghan","0"
"1993","Offaly","0"
"1993","Roscommon","0"
"1993","Sligo","0"
"1993","Tipperary","0"
"1993","Waterford","0"
"1993","Wexford","0"
"1993","Wicklow","0"
"1994","Carlow","0"
"1994","Cavan","0"
"1994","Clare","0"
"1994","Cork","0"
"1994","Donegal","0"
"1994","Dublin","0"
"1994","Fingal","0"
"1994","Galway","0"
"1994","Kerry","0"
"1994","Kildare","0"
"1994","Kilkenny","0"
"1994","Laois","0"
"1994","Leitrim","0"
"1994","Limerick","0"
"1994","Longford","0"
"1994","Louth","0"
"1994","Mayo","0"
"1994","Meath","0"
"1994","Monaghan","0"
"1994","Offaly","0"
"1994","Roscommon","0"
"1994","Sligo","0"
"1994","Tipperary","0"
"1994","Waterford","0"
"1994","Wexford","0"
"1994","Wicklow","0"
"1995","Carlow","0"
"1995","Cavan","0"
"1995","Clare","0"
"1995","Cork","0"
"1995","Donegal","0"
"1995","Dublin","0"
"1995","Fingal","0"
"1995","Galway","0"
"1995","Kerry","0"
"1995","Kildare","0"
"1995","Kilkenny","0"
"1995","Laois","0"
"1995","Leitrim","0"
"1995","Limerick","0"
"1995","Longford","0"
"1995","Louth","0"
"1995","Mayo","0"
"1995","Meath","0"
"1995","Monaghan","0"
"1995","Offaly","0"
"1995","Roscommon","0"
"1995","Sligo","0"
"1995","Tipperary","0"
"1995","Waterford","0"
"1995","Wexford","0"
"1995","Wicklow","0"
"1996","Carlow","0"
"1996","Cavan","0"
"1996","Clare","0"
"1996","Cork","0"
"1996","Donegal","0"
"1996","Dublin","0"
"1996","Fingal","0"
"1996","Galway","0"
"1996","Kerry","0"
"1996","Kildare","0"
"1996","Kilkenny","0"
"1996","Laois","0"
"1996","Leitrim","0"
"1996","Limerick","0"
"1996","Longford","0"
"1996","Louth","0"
"1996","Mayo","0"
"1996","Meath","0"
"1996","Monaghan","0"
"1996","Offaly","0"
"1996","Roscommon","0"
"1996","Sligo","0"
"1996","Tipperary","0"
"1996","Waterford","0"
"1996","Wexford","0"
"1996","Wicklow","0"
"1997","Carlow","0"
"1997","Cavan","0"
"1997","Clare","0"
"1997","Cork","0"
"1997","Donegal","0"
"1997","Dublin","0"
"1997","Fingal","0"
"1997","Galway","0"
"1997","Kerry","0"
"1997","Kildare","0"
"1997","Kilkenny","0"
"1997","Laois","0"
"1997","Leitrim","0"
"1997","Limerick","0"
"1997","Longford","0"
"1997","Louth","0"
"1997","Mayo","0"
"1997","Meath","0"
"1997","Monaghan","0"
"1997","Offaly","0"
"1997","Roscommon","0"
"1997","Sligo","0"
"1997","Tipperary","0"
"1997","Waterford","0"
"1997","Wexford","0"
"1997","Wicklow","0"
"1998","Carlow","0"
"1998","Cavan","0"
"1998","Clare","0"
"1998","Cork","0"
"1998","Donegal","0"
"1998","Dublin","0"
"1998","Fingal","0"
"1998","Galway","0"
"1998","Kerry","0"
"1998","Kildare","0"
"1998","Kilkenny","0"
"1998","Laois","0"
"1998","Leitrim","0"
"1998","Limerick","0"
"1998","Longford","0"
"1998","Louth","0"
"1998","Mayo","0"
"1998","Meath","0"
"1998","Monaghan","0"
"1998","Offaly","0"
"1998","Roscommon","0"
"1998","Sligo","0"
"1998","Tipperary","0"
"1998","Waterford","0"
"1998","Wexford","0"
"1998","Wicklow","0"
"1999","Carlow","0"
"1999","Cavan","0"
"1999","Clare","0"
"1999","Cork","0"
"1999","Donegal","0"
"1999","Dublin","0"
"1999","Fingal","0"
"1999","Galway","0"
"1999","Kerry","0"
"1999","Kildare","0"
"1999","Kilkenny","0"
"1999","Laois","0"
"1999","Leitrim","0"
"1999","Limerick","0"
"1999","Longford","0"
"1999","Louth","0"
"1999","Mayo","0"
"1999","Meath","0"
"1999","Monaghan","0"
"1999","Offaly","0"
"1999","Roscommon","0"
"1999","Sligo","0"
"1999","Tipperary","0"
"1999","Waterford","0"
"1999","Wexford","0"
"1999","Wicklow","0"
"2000","Carlow","0"
"2000","Cavan","0"
"2000","Clare","0"
"2000","Cork","0"
"2000","Donegal","0"
"2000","Dublin","0"
"2000","Fingal","0"
"2000","Galway","0"
"2000","Kerry","0"
"2000","Kildare","0"
"2000","Kilkenny","0"
"2000","Laois","0"
"2000","Leitrim","0"
"2000","Limerick","0"
"2000","Longford","0"
"2000","Louth","0"
"2000","Mayo","0"
"2000","Meath","0"
"2000","Monaghan","0"
"2000","Offaly","0"
"2000","Roscommon","0"
"2000","Sligo","0"
"2000","Tipperary","0"
"2000","Waterford","0"
"2000","Wexford","0"
"2000","Wicklow","0"
"2001","Carlow","0"
"2001","Cavan","0"
"2001","Clare","0"
"2001","Cork","0"
"2001","Donegal","0"
"2001","Dublin","0"
"2001","Fingal","0"
"2001","Galway","0"
"2001","Kerry","0"
"2001","Kildare","0"
"2001","Kilkenny","0"
"2001","Laois","0"
"2001","Leitrim","0"
"2001","Limerick","0"
"2001","Longford","0"
"2001","Louth","0"
"2001","Mayo","0"
"2001","Meath","0"
"2001","Monaghan","0"
"2001","Offaly","0"
"2001","Roscommon","0"
"2001","Sligo","0"
"2001","Tipperary","0"
"2001","Waterford","0"
"2001","Wexford","0"
"2001","Wicklow","0"
"2002","Carlow","0"
"2002","Cavan","0"
"2002","Clare","0"
"2002","Cork","0"
"2002","Donegal","0"
"2002","Dublin","0"
"2002","Fingal","0"
"2002","Galway","0"
"2002","Kerry","0"
"2002","Kildare","0"
"2002","Kilkenny","0"
"2002","Laois","0"
"2002","Leitrim","0"
"2002","Limerick","0"
"2002","Longford","0"
"2002","Louth","0"
"2002","Mayo","0"
"2002","Meath","0"
"2002","Monaghan","0"
"2002","Offaly","0"
"2002","Roscommon","0"
"2002","Sligo","0"
"2002","Tipperary","0"
"2002","Waterford","0"
"2002","Wexford","0"
"2002","Wicklow","0"
"2003","Carlow","0"
"2003","Cavan","0"
"2003","Clare","0"
"2003","Cork","0"
"2003","Donegal","0"
"2003","Dublin","0"
"2003","Fingal","0"
"2003","Galway","0"
"2003","Kerry","0"
"2003","Kildare","0"
"2003","Kilkenny","0"
"2003","Laois","0"
"2003","Leitrim","0"
"2003","Limerick","0"
"2003","Longford","0"
"2003","Louth","0"
"2003","Mayo","0"
"2003","Meath","0"
"2003","Monaghan","0"
"2003","Offaly","0"
"2003","Roscommon","0"
"2003","Sligo","0"
"2003","Tipperary","0"
"2003","Waterford","0"
"2003","Wexford","0"
"2003","Wicklow","0"
"2004","Carlow","0"
"2004","Cavan","0"
"2004","Clare","0"
"2004","Cork","0"
"2004","Donegal","0"
"2004","Dublin","0"
"2004","Fingal","0"
"2004","Galway","0"
"2004","Kerry","0"
"2004","Kildare","0"
"2004","Kilkenny","0"
"2004","Laois","0"
"2004","Leitrim","0"
"2004","Limerick","0"
"2004","Longford","0"
"2004","Louth","0"
"2004","Mayo","0"
"2004","Meath","0"
"2004","Monaghan","0"
"2004","Offaly","0"
"2004","Roscommon","0"
"2004","Sligo","0"
"2004","Tipperary","0"
"2004","Waterford","0"
"2004","Wexford","0"
"2004","Wicklow","0"
"2005","Carlow","0"
"2005","Cavan","0"
"2005","Clare","0"
"2005","Cork","0"
"2005","Donegal","0"
"2005","Dublin","0"
"2005","Fingal","0"
"2005","Galway","0"
"2005","Kerry","0"
"2005","Kildare","0"
"2005","Kilkenny","0"
"2005","Laois","0"
"2005","Leitrim","0"
"2005","Limerick","0"
"2005","Longford","0"
"2005","Louth","0"
"2005","Mayo","0"
"2005","Meath","0"
"2005","Monaghan","0"
"2005","Offaly","0"
"2005","Roscommon","0"
"2005","Sligo","0"
"2005","Tipperary","0"
"2005","Waterford","0"
"2005","Wexford","0"
"2005","Wicklow","0"
"2006","Carlow","0"
"2006","Cavan","0"
"2006","Clare","0"
"2006","Cork","0"
"2006","Donegal","0"
"2006","Dublin","0"
"2006","Fingal","0"
"2006","Galway","0"
"2006","Kerry","0"
"2006","Kildare","0"
"2006","Kilkenny","0"
"2006","Laois","0"
"2006","Leitrim","0"
"2006","Limerick","0"
"2006","Longford","0"
"2006","Louth","0"
"2006","Mayo","0"
"2006","Meath","0"
"2006","Monaghan","0"
"2006","Offaly","0"
"2006","Roscommon","0"
"2006","Sligo","0"
"2006","Tipperary","0"
"2006","Waterford","0"
"2006","Wexford","0"
"2006","Wicklow","0"
"2007","Carlow","0"
"2007","Cavan","0"
"2007","Clare","0"
"2007","Cork","0"
"2007","Donegal","0"
"2007","Dublin","0"
"2007","Fingal","0"
"2007","Galway","0"
"2007","Kerry","0"
"2007","Kildare","0"
"2007","Kilkenny","0"
"2007","Laois","0"
"2007","Leitrim","0"
"2007","Limerick","0"
